"id","repetition","beta8","n","p"
2142,72,0.05,50,1.38791960206609e-14
2143,72,0.15,50,0.0181633806476744
2144,72,0.25,50,4.14601891676979e-15
2145,72,0.5,50,1.66977682022076e-06
2146,72,0,150,0.312274368913522
2147,72,0.05,150,0.304699755916354
2148,72,0.15,150,3.53209153788449e-06
2149,72,0.25,150,1.98408855426173e-10
2150,72,0.5,150,3.57404512380318e-20
2151,72,0,500,0.311812626093218
2152,72,0.05,500,0.111356721749449
2153,72,0.15,500,1.9322316301909e-07
2154,72,0.25,500,1.67202093463528e-12
2155,72,0.5,500,2.13631237635024e-18
2156,72,0,5000,0.311812626093218
2157,72,0.05,5000,0.111356721749449
2158,72,0.15,5000,1.9322316301909e-07
2159,72,0.25,5000,1.67202093463528e-12
2160,72,0.5,5000,2.13631237635024e-18
2161,73,0,5,1
2162,73,0.05,5,0.110761226954495
2163,73,0.15,5,1.25323560509851e-05
2164,73,0.25,5,0.00459987314737378
2165,73,0.5,5,0.00249878115775008
2166,73,0,25,0.32869468323647
2167,73,0.05,25,0.498117598824696
2168,73,0.15,25,1.42658528127338e-09
2169,73,0.25,25,0.00227845064981187
2170,73,0.5,25,2.98618164470988e-05
2171,73,0,50,0.323805872355372
2172,73,0.05,50,1.18285946366294e-16
2173,73,0.15,50,0.000313096941882805
2174,73,0.25,50,1.63930398645544e-09
2175,73,0.5,50,1.60358510372152e-10
2176,73,0,150,0.657447927731076
2177,73,0.05,150,0.173955580688159
2178,73,0.15,150,1.80788817124662e-06
2179,73,0.25,150,5.94468228984016e-12
